instrument,cruise,quantile,beads.fsc.small,beads.D1,beads.D2,width,notch.small.D1,notch.small.D2,notch.large.D1,notch.large.D2,offset.small.D1,offset.small.D2,offset.large.D1,offset.large.D2
989,DeepDOM,2.5,47904,20896,21920,5000,0.436,0.458,1.359,1.324,0,0,-44206,-41505
989,DeepDOM,50,48480,19312,20656,5000,0.398,0.426,1.37,1.337,0,0,-47106,-44162
989,DeepDOM,97.5,48912,17872,19344,5000,0.365,0.395,1.382,1.349,0,0,-49724,-46638
751,GP15_1,2.5,43808,37840,37856,5000,0.864,0.864,1.904,2.034,0,0,-45570,-51249
751,GP15_1,50,44272,36256,36224,5000,0.819,0.818,1.91,2.04,0,0,-48304,-54091
751,GP15_1,97.5,44624,35120,34656,5000,0.787,0.777,1.915,2.047,0,0,-50335,-56689
751,GP15_2,2.5,42832,30828,28928,5000,0.603,0.559,1.904,2.034,5000,5000,-50724,-58192
751,GP15_2,50,43184,29384,27120,5000,0.565,0.512,1.91,2.04,5000,5000,-53097,-60975
751,GP15_2,97.5,43392,28780,25264,5000,0.548,0.467,1.915,2.047,5000,5000,-54316,-63559
751,HOT-294,2.5,52896,32016,37664,5000,0.605,0.712,1.904,2.034,0,0,-68698,-69926
751,HOT-294,50,53480,30624,36032,5000,0.573,0.674,1.91,2.04,0,0,-71523,-73067
751,HOT-294,97.5,53888,28992,34576,5000,0.538,0.642,1.915,2.047,0,0,-74204,-75733
751,HOT297,2.5,52368,53552,57072,5000,1.023,1.09,1.904,2.034,0,0,-46157,-49445
751,HOT297,50,53392,50992,55744,5000,0.955,1.044,1.91,2.04,0,0,-50987,-53176
751,HOT297,97.5,54384,48420,54272,5000,0.89,0.998,1.915,2.047,0,0,-55725,-57052
751,HOT299,2.5,54640,31064,36832,5000,0.569,0.674,1.904,2.034,0,0,-72971,-74306
751,HOT299,50,55616,28784,34496,5000,0.518,0.62,1.91,2.04,0,0,-77443,-78961
751,HOT299,97.5,56512,26208,31324,5000,0.464,0.554,1.915,2.047,0,0,-82012,-84356
751,HOT300,2.5,53600,31440,37056,5000,0.587,0.691,1.904,2.034,0,0,-70614,-71966
751,HOT300,50,55136,28944,34496,5000,0.525,0.626,1.91,2.04,0,0,-76366,-77981
751,HOT300,97.5,56224,26160,31040,5000,0.465,0.552,1.915,2.047,0,0,-81509,-84051
751,HOT301,2.5,51632,46864,53616,5000,0.908,1.038,1.904,2.034,0,0,-51443,-51403
751,HOT301,50,52688,44704,51312,5000,0.848,0.974,1.91,2.04,0,0,-55930,-56172
751,HOT301,97.5,53776,42464,49536,5000,0.79,0.921,1.915,2.047,0,0,-60517,-60543
751,HOT302,2.5,56256,42208,46160,5000,0.75,0.821,1.904,2.034,0,0,-64903,-68265
751,HOT302,50,57072,40848,44960,5000,0.716,0.788,1.91,2.04,0,0,-68160,-71467
751,HOT302,97.5,57712,38880,43904,5000,0.674,0.761,1.915,2.047,0,0,-71638,-74232
751,HOT303,2.5,54384,34208,39408,5000,0.629,0.725,1.904,2.034,0,0,-69339,-71209
751,HOT303,50,55088,32128,37920,5000,0.583,0.688,1.91,2.04,0,0,-73090,-74460
751,HOT303,97.5,55744,30292,36800,5000,0.543,0.66,1.915,2.047,0,0,-76458,-77308
751,HOT304,2.5,52448,38848,44192,5000,0.741,0.843,1.904,2.034,0,0,-61013,-62487
751,HOT304,50,53344,36528,42944,5000,0.685,0.805,1.91,2.04,0,0,-65359,-65878
751,HOT304,97.5,54352,34448,41792,5000,0.634,0.769,1.915,2.047,0,0,-69636,-69467
740,HOT307,2.5,46368,30640,37936,5000,0.661,0.818,1.64,1.637,0,0,-45404,-37968
740,HOT307,50,47040,29024,36304,5000,0.617,0.772,1.635,1.632,0,0,-47886,-40465
740,HOT307,97.5,47552,27072,34816,5000,0.569,0.732,1.63,1.627,0,0,-50438,-42551
740,HOT308,2.5,47232,34208,40336,5000,0.724,0.854,1.64,1.637,0,0,-43252,-36983
740,HOT308,50,48112,31600,38496,5000,0.657,0.8,1.635,1.632,0,0,-47063,-40023
740,HOT308,97.5,48736,29632,36832,5000,0.608,0.756,1.63,1.627,0,0,-49808,-42461
740,HOT309,2.5,46576,35680,40944,5000,0.766,0.879,1.64,1.637,0,0,-40705,-35301
740,HOT309,50,47552,33376,39152,5000,0.702,0.823,1.635,1.632,0,0,-44372,-38453
740,HOT309,97.5,48304,31488,37888,5000,0.652,0.784,1.63,1.627,0,0,-47248,-40703
740,HOT310,2.5,46320,41856,48416,5000,0.904,1.045,1.64,1.637,0,0,-34109,-27410
740,HOT310,50,47456,39856,46704,5000,0.84,0.984,1.635,1.632,0,0,-37735,-30744
740,HOT310,97.5,48176,37960,44880,5000,0.788,0.932,1.63,1.627,0,0,-40567,-33502
740,HOT312,2.5,47568,32288,39488,5000,0.679,0.83,1.64,1.637,0,0,-45724,-38381
740,HOT312,50,48192,30416,37616,5000,0.631,0.781,1.635,1.632,0,0,-48378,-41033
740,HOT312,97.5,48704,28624,36080,5000,0.588,0.741,1.63,1.627,0,0,-50764,-43161
740,HOT313,2.5,46032,34320,41656,5000,0.746,0.905,1.64,1.637,0,0,-41172,-33698
740,HOT313,50,47120,32480,39712,5000,0.689,0.843,1.635,1.632,0,0,-44561,-37188
740,HOT313,97.5,47680,30800,38208,5000,0.646,0.801,1.63,1.627,0,0,-46918,-39367
740,HOT314,2.5,45488,43728,49584,5000,0.961,1.09,1.64,1.637,0,0,-30872,-24880
740,HOT314,50,46576,41680,47120,5000,0.895,1.012,1.635,1.632,0,0,-34472,-28892
740,HOT314,97.5,47824,39136,44496,5000,0.818,0.93,1.63,1.627,0,0,-38817,-33314
740,HOT315,2.5,46288,43136,47248,5000,0.932,1.021,1.64,1.637,0,0,-32776,-28525
740,HOT315,50,47040,40448,44944,5000,0.86,0.955,1.635,1.632,0,0,-36462,-31825
740,HOT315,97.5,47600,38000,42800,5000,0.798,0.899,1.63,1.627,0,0,-39588,-34645
740,HOT317,2.5,50448,37632,36672,5000,0.746,0.727,1.64,1.637,0,0,-45103,-45911
740,HOT317,50,51024,35232,34496,5000,0.69,0.676,1.635,1.632,0,0,-48192,-48775
740,HOT317,97.5,51600,33344,31968,5000,0.646,0.62,1.63,1.627,0,0,-50764,-51985
740,HOT318,2.5,47056,40704,36696,5000,0.865,0.78,1.64,1.637,0,0,-36468,-40335
740,HOT318,50,49248,36216,34032,5000,0.735,0.691,1.635,1.632,0,0,-44304,-46341
740,HOT318,97.5,50928,32528,31232,5000,0.639,0.613,1.63,1.627,0,0,-50485,-51628
740,HOT319,2.5,48832,39648,35312,5000,0.812,0.723,1.64,1.637,0,0,-40436,-44626
740,HOT319,50,49472,36464,33808,5000,0.737,0.683,1.635,1.632,0,0,-44423,-46930
740,HOT319,97.5,49984,33344,32048,5000,0.667,0.641,1.63,1.627,0,0,-48130,-49276
740,HOT321,2.5,49920,22752,22752,10000,0.456,0.496,1.64,1.637,0,-2000,-59117,-58967
740,HOT321,50,50816,21424,20624,10000,0.422,0.445,1.635,1.632,0,-2000,-61660,-62308
740,HOT321,97.5,51488,20160,18384,10000,0.392,0.396,1.63,1.627,0,-2000,-63765,-65387
740,HOT322,2.5,47696,28688,28528,15000,0.633,0.63,1.64,1.637,-1500,-1500,-49533,-49550
740,HOT322,50,48368,27584,26256,15000,0.601,0.574,1.635,1.632,-1500,-1500,-51498,-52681
740,HOT322,97.5,48992,26576,24096,15000,0.573,0.522,1.63,1.627,-1500,-1500,-53281,-55614
740,HOT323,2.5,49680,26496,26144,15000,0.564,0.556,1.64,1.637,-1500,-1500,-54979,-55182
