time,pulse_width,D1,D2,fsc_small,fsc_perp,fsc_big,pe,chl_small,chl_big
9474,1191,19072,17888,37904,15312,35568,20256,6261,32645
9474,1191,19072,17888,37904,15312,35568,20256,6261,32645
9474,1191,19072,17888,37904,15312,35568,20256,6261,32645
9474,1191,19072,17888,37904,15312,35568,20256,6261,32645
9474,1191,19072,17888,37904,15312,35568,20256,6261,32645
9474,1191,19072,17888,37904,15312,35568,20256,6261,32645
9474,1191,19072,17888,37904,15312,35568,20256,6261,32645
9475,1360,47168,48032,48256,50736,45952,18464,25317,32677
9475,1360,47168,48032,48256,50736,45952,18464,25317,32677
9475,1360,47168,48032,48256,50736,45952,18464,25317,32677
9475,1360,47168,48032,48256,50736,45952,18464,25317,32677
9475,1360,47168,48032,48256,50736,45952,18464,25317,32677
9475,1360,47168,48032,48256,50736,45952,18464,25317,32677
9475,1360,47168,48032,48256,50736,45952,18464,25317,32677
9475,1360,47168,48032,48256,50736,45952,18464,25317,32677
9475,1360,47168,48032,48256,50736,45952,18464,25317,32677
9475,1360,47168,48032,48256,50736,45952,18464,25317,32677
9475,1360,47168,48032,48256,50736,45952,18464,25317,32677
9475,1360,47168,48032,48256,50736,45952,18464,25317,32677
9475,1346,18272,18400,35856,14981,34192,23669,8848,32656
9475,1346,18272,18400,35856,14981,34192,23669,8848,32656
9475,1346,18272,18400,35856,14981,34192,23669,8848,32656
9475,1346,18272,18400,35856,14981,34192,23669,8848,32656
9475,1346,18272,18400,35856,14981,34192,23669,8848,32656
9475,1346,18272,18400,35856,14981,34192,23669,8848,32656
9475,1346,18272,18400,35856,14981,34192,23669,8848,32656
9475,1346,18272,18400,35856,14981,34192,23669,8848,32656
9475,1346,18272,18400,35856,14981,34192,23669,8848,32656
9475,1346,18272,18400,35856,14981,34192,23669,8848,32656
9475,1346,18272,18400,35856,14981,34192,23669,8848,32656
9475,1346,18272,18400,35856,14981,34192,23669,8848,32656
9476,1010,21200,19488,41856,23136,39840,19739,20443,32661
9476,1010,21200,19488,41856,23136,39840,19739,20443,32661
9476,1010,21200,19488,41856,23136,39840,19739,20443,32661
9476,1010,21200,19488,41856,23136,39840,19739,20443,32661
9476,1010,21200,19488,41856,23136,39840,19739,20443,32661
9476,1010,21200,19488,41856,23136,39840,19739,20443,32661
9476,1010,21200,19488,41856,23136,39840,19739,20443,32661
9476,1010,21200,19488,41856,23136,39840,19739,20443,32661
9476,1010,21200,19488,41856,23136,39840,19739,20443,32661
9476,1010,21200,19488,41856,23136,39840,19739,20443,32661
9476,1010,21200,19488,41856,23136,39840,19739,20443,32661
9476,1010,21200,19488,41856,23136,39840,19739,20443,32661
9476,1010,21200,19488,41856,23136,39840,19739,20443,32661
9476,1208,52480,54208,46720,36224,45280,16656,28704,32672
9476,1208,52480,54208,46720,36224,45280,16656,28704,32672
9476,1208,52480,54208,46720,36224,45280,16656,28704,32672
9476,1208,52480,54208,46720,36224,45280,16656,28704,32672
9476,1208,52480,54208,46720,36224,45280,16656,28704,32672
9476,1208,52480,54208,46720,36224,45280,16656,28704,32672
9476,1208,52480,54208,46720,36224,45280,16656,28704,32672
9476,1208,52480,54208,46720,36224,45280,16656,28704,32672
9476,1208,52480,54208,46720,36224,45280,16656,28704,32672
9476,1208,52480,54208,46720,36224,45280,16656,28704,32672
9476,1208,52480,54208,46720,36224,45280,16656,28704,32672
9476,1208,52480,54208,46720,36224,45280,16656,28704,32672
9476,1227,18688,18832,48240,53909,46400,23355,30965,32656
9476,1227,18688,18832,48240,53909,46400,23355,30965,32656
9476,1227,18688,18832,48240,53909,46400,23355,30965,32656
9476,1227,18688,18832,48240,53909,46400,23355,30965,32656
9476,1227,18688,18832,48240,53909,46400,23355,30965,32656
9476,1227,18688,18832,48240,53909,46400,23355,30965,32656
9476,1227,18688,18832,48240,53909,46400,23355,30965,32656
9476,1227,18688,18832,48240,53909,46400,23355,30965,32656
