time,pulse_width,D1,D2,fsc_small,fsc_perp,fsc_big,pe,chl_small,chl_big
41020,8063,20208,20320,51936,19856,38800,50736,23179,32603
41020,9937,42416,42768,24640,501,10912,16869,5237,32597
41020,10828,63760,62848,41616,19531,31168,19760,27003,32619
41021,9256,15536,14976,29072,0,15296,21392,5947,32592
41022,9779,29792,32160,44544,11445,32112,16485,5579,32603
41022,9750,13888,15360,32192,1701,20816,17973,8741,32597
41022,10425,30976,28560,56064,38549,44560,16464,5920,32592
41022,10143,55584,55568,51984,38635,40112,19749,15381,32597
41022,9786,25216,26624,53296,21483,40416,15749,16315,32603
41023,9645,49552,47232,44256,11205,32176,16501,8523,32587
41023,9255,26512,25120,50544,20059,37504,50565,24875,32592
41024,9621,47616,50096,41280,272,25120,43808,15547,32597
41024,8436,54064,53952,33296,6469,21712,32165,13008,32608
41024,11125,19232,19696,35600,3632,22880,22384,12427,32608
41024,10640,53392,53552,30800,1333,19232,28411,8688,32597
41024,10182,51728,52624,34688,3237,22400,28549,9493,32597
41025,10372,51648,53536,30448,1189,18032,27963,7488,32592
41026,8919,39104,38896,32672,2128,20096,28277,9552,32597
41026,9260,48432,49616,44704,14320,32128,21632,7211,32597
41026,8367,36672,39152,59552,38837,47152,19941,20304,32592
41026,9903,44848,46176,19120,0,2976,20341,6075,32597
41027,10425,43680,42640,37872,8091,25904,26491,10960,32608
41027,9504,45792,43808,43584,8581,30672,18160,10661,32597
41028,10421,19184,20960,32384,1125,19648,25291,11755,32597
41028,10973,45968,45248,51936,23595,39056,20720,35717,32603
41028,9639,27136,26288,38944,5979,26096,20677,7264,32592
41028,10380,53792,53632,29856,2096,17792,28875,10203,32619
41028,9466,65120,62816,54960,50123,44480,19573,16416,32592
41029,9983,55712,54176,33856,2427,21504,31419,7845,32608
41030,10491,41664,41344,32416,1328,19920,15435,5173,32608
41030,10783,34768,32688,60448,39147,48176,20944,16699,32597
41030,9732,44752,46048,22464,0,10240,21733,4859,32597
41030,9766,41904,39456,31424,1840,19232,26203,11744,32597
41031,9119,24720,22832,52368,35701,39840,15104,7211,32608
41032,11089,36688,36400,53728,25445,41168,22197,38699,32597
41032,10135,54416,52400,26048,0,14752,26293,6475,32597
41032,10165,34368,31888,44592,9264,32000,16549,8480,32597
41032,10240,47408,49248,49760,28453,36832,18245,16533,32592
41033,9257,51808,53232,31856,752,19872,25627,7179,32597
41034,9121,37808,40000,32352,85,20016,15584,7963,32597
41034,9478,53184,52944,27296,2101,15584,24565,6336,32603
41034,10333,56224,54160,33216,549,18336,26229,7600,32597
41034,9935,43216,42368,63488,48565,52432,23179,18773,32603
41034,10224,28256,29824,33264,1707,20464,18757,5488,32592
41035,10050,18960,16848,12000,0,976,18773,5936,32597
41036,9645,52544,52736,26800,859,14464,25136,4731,32592
41036,9167,28160,30384,34480,2688,22160,17093,7973,32603
41036,10459,30352,31120,49792,16843,37424,26640,8160,32597
41036,9646,50304,48464,24160,0,10368,15520,7275,32592
41036,11208,40080,39104,62480,48085,50384,19168,15125,32608
41037,10685,38768,38400,36304,3339,23888,30667,14880,32597
41038,9567,55744,56528,28384,0,12448,22235,12837,32597
41038,8376,21408,21392,51488,21595,38144,53931,27323,32603
41038,10848,45152,45856,20080,395,4224,15083,4416,32592
41038,10382,53056,51232,35040,1856,22688,21936,6501,32592
41038,10873,21072,22864,31920,219,19024,21216,7221,32587
41039,10326,34624,34528,24528,0,12784,16672,6805,32592
41040,11797,18864,17744,30496,0,16896,25104,9056,32608
41040,10508,41104,42832,22928,0,10592,24432,9643,32592
41040,11319,37680,39152,20432,0,1312,16389,5664,32592
41040,10533,53840,51872,55568,23568,44176,30160,14971,32597
41040,10620,48144,48096,22320,459,8112,15424,4997,32597
41041,8705,47472,47664,57616,26917,44768,33211,40421,32608
41042,9891,52464,49984,21552,0,8688,17744,5872,32592
41042,8726,55776,53424,32720,4027,20976,30432,7344,32592
41042,10025,23680,22928,49952,20805,36832,21371,12085,32597
41042,9689,30784,32528,25392,299,13040,17899,6112,32592
41043,9672,25648,23696,35296,5360,23552,29813,11461,32597
41044,9820,61904,62816,55760,32699,43744,45125,41621,32608
41044,9100,25280,25280,45536,21979,33392,46837,17925,32597
41044,10689,19376,21744,51584,18821,38592,16848,34933,32603
41044,9954,21216,18800,33280,2432,20784,27237,11973,32608
41044,10519,30288,29424,54512,48357,43024,23072,9867,32597
41045,9537,36288,34496,57680,28192,45184,22101,44645,32608
41045,10330,16432,15360,38688,4192,25392,17824,13221,32603
41046,10022,54992,53328,36208,3552,23664,33584,10203,32608
41046,9674,23728,23792,38688,6464,26816,15451,7179,32587
41046,10250,20784,21200,51936,20395,38784,52827,25968,32603
41046,10035,39856,38288,34544,1573,22080,25195,8864,32592
41046,10170,27184,27872,35744,1184,23056,18987,10405,32592
41047,9548,35856,33744,46624,14107,34656,20763,6411,32597
41048,9397,25472,24640,33248,3419,20816,25024,8139,32597
41048,8637,28832,29632,53824,23499,42176,15413,23008,32592
