time,pulse_width,D1,D2,fsc_small,fsc_perp,fsc_big,pe,chl_small,chl_big
41752,2367,46320,46928,36640,29733,0,20032,9520,32619
41752,2523,17264,16192,40736,22491,0,16336,6923,32629
41752,2546,14192,13632,48016,28309,0,25579,24613,32635
41753,2490,62096,60768,45424,34453,0,18405,13019,32624
41753,2345,59024,61232,62896,40091,0,15579,5984,32624
41753,2469,18560,18128,43296,21797,0,55115,32443,32640
41753,2469,18560,18128,43296,21797,0,55115,32443,32640
41753,2848,31408,32112,41824,18560,0,46587,23312,32640
41754,2638,19152,16752,38928,29931,0,15824,8939,32635
41754,2387,49072,47920,28704,10795,0,47451,22704,32635
41754,2403,12960,11408,44224,38213,0,17003,11909,32635
41754,2408,18592,16640,47296,30384,0,21179,9963,32619
41754,2157,27376,26240,43872,24405,0,22144,6581,32640
41755,2528,21696,22960,41488,30843,0,20725,11765,32629
41755,2940,32048,30496,52096,34384,0,24176,16581,32635
41756,2825,40656,39664,22272,117,0,28272,5563,32635
41756,2626,62736,62528,60960,33520,0,28160,19259,32635
41756,2626,25520,23968,51648,28517,0,15221,11477,32629
41756,2626,25520,23968,51648,28517,0,15221,11477,32629
41756,2647,48432,47248,36160,31877,0,24224,20411,32624
41756,2623,18848,19872,51824,35099,0,26117,13653,32629
41756,2857,53520,52240,53856,35717,0,22069,12885,32629
41756,2684,61168,61968,54704,36565,0,18949,8587,32640
41757,2759,39600,41088,34624,18325,0,21291,10139,32624
41757,2357,45152,46560,44064,21979,0,15131,13221,32635
41758,2434,9232,7648,39968,26795,0,16901,13317,32619
41758,2643,44144,44416,41200,29136,0,18747,10501,32624
41758,2562,41472,41136,45632,26955,0,18379,14597,32629
41758,2594,16160,14912,36096,28331,0,15381,6603,32635
41758,2796,40496,39056,20656,0,0,25205,3536,32624
41758,2796,40496,39056,20656,0,0,25205,3536,32624
41758,2432,21968,24240,39760,31051,0,17541,13392,32629
41759,2713,45024,44672,27520,25813,0,18955,12944,32619
41759,2550,36928,35856,40288,13765,0,36699,15429,32640
41759,2199,60656,60000,40336,25355,0,20725,8549,32629
41759,3241,22432,24688,43936,24272,0,17024,9035,32629
41759,2610,25216,26160,43104,23216,0,17675,6165,32635
41760,2610,60688,62496,52608,30795,0,16075,10885,32640
41760,2777,62672,61424,52528,37344,0,28645,14848,32635
41760,2889,40768,39248,27776,6571,0,32539,12763,32629
41760,2889,40736,39312,27616,3312,0,29072,11835,32629
41760,2889,40736,39312,27616,3312,0,29072,11835,32629
41760,2742,10720,8448,46560,33643,0,17227,9568,32640
41760,2685,11328,12528,42976,33115,0,17845,10837,32629
41760,2528,47632,47504,20960,3013,0,32059,11893,32635
41760,2824,37440,35888,38384,17563,0,19456,9371,32629
41760,2262,62784,60544,58656,50603,0,31509,19248,32635
41760,2662,23520,21040,55888,38208,0,23131,12752,32629
41760,2822,28704,28736,45536,35872,0,26352,16811,32635
41761,2781,51072,52992,43984,44843,0,32501,27397,32629
41761,2781,44384,44880,24848,7088,0,23051,5621,32629
41762,2552,20864,18656,52032,30875,0,15376,11440,32640
41762,3116,12160,14528,42848,30283,0,19349,12667,32629
41762,3116,12160,14528,42848,30283,0,19349,12667,32629
41762,2858,62672,62864,47360,45669,0,15829,9616,32624
41762,3275,18432,18256,48400,25403,0,20448,14368,32629
41762,3275,9856,10784,37520,24080,0,15232,7595,32629
41762,2774,59712,62176,58896,42299,0,23749,14848,32640
41762,2468,33424,35920,48736,36773,0,15904,10400,32624
41762,2964,5152,6240,42880,32309,0,16656,10347,32635
41762,2964,25616,23904,20096,3333,0,30880,4059,32624
41762,3072,11344,12576,36064,23312,0,15451,6256,32640
41762,2673,40016,39952,25392,5451,0,28944,9973,32640
41762,2884,21664,22656,42784,23621,0,18373,11120,32624
41762,3173,33424,33440,48368,28789,0,15419,12219,32624
41762,3173,33424,33440,48368,28789,0,15419,12219,32624
41763,2702,5696,4736,43248,33483,0,16251,5835,32629
41764,3230,45648,48144,48528,38912,0,20043,12315,32624
41764,2950,22544,24160,51520,32645,0,26197,15509,32635
41764,2209,7312,8128,24368,17675,0,19141,24288,32635
41764,2615,19520,21712,43216,32139,0,17893,10277,32629
41764,2534,53504,53008,34688,22725,0,19115,5509,32629
41764,2814,46336,44320,36816,35221,0,25531,22613,32629
41764,3037,28352,26256,49600,39371,0,19221,12176,32629
41764,3037,32352,32704,36640,34325,0,15403,4821,32624
41765,2503,11024,10304,49504,33291,0,15771,11520,32629
41765,2503,11024,10304,49504,33291,0,15771,11520,32629
41765,2636,22032,23152,40608,34048,0,20069,9952,32635
41765,2738,8752,9232,42688,38352,0,16613,9712,32624
41765,2576,28144,26896,49888,38592,0,18197,11301,32629
41766,2876,9920,9376,38720,23760,0,15600,5424,32613
41766,3004,19840,20304,50864,31995,0,16720,7152,32629
41766,3004,57344,57728,45376,26032,0,17035,12261,32619
41766,2736,7664,8432,41904,30256,0,15691,8384,32629
41766,2855,12848,12672,46736,41376,0,24203,15995,32629
41766,2661,44768,47024,30256,24165,0,15797,11739,32624
41766,2719,59008,58912,50784,39936,0,18187,10315,32629
41766,2704,37312,39216,30320,8795,0,34864,10869,32629
41766,2704,37312,39216,30320,8795,0,34864,10869,32629
41767,3729,24768,24688,40976,17936,0,46187,23872,32640
41767,2475,51120,51408,53456,35131,0,23397,12475,32629
41768,2762,16640,19104,43632,23637,0,40523,17387,32635
41768,3054,26848,25952,43616,35547,0,23920,15691,32624
41768,3262,47792,46704,28944,42864,0,17413,12635,32635
41768,2966,13776,11824,47616,30197,0,15883,5381,32629
41768,3253,9936,10176,38352,31589,0,17296,12587,32635
41768,3066,62672,62512,58192,41088,0,33531,24155,32635
41768,3279,41136,39168,24544,1424,0,28459,7824,32624
41768,2995,1072,1808,29152,23552,0,16624,8864,32629
41768,2995,1072,1808,29152,23552,0,16624,8864,32629
41768,2644,39216,41168,20688,0,0,25461,4837,32629
41769,2465,55776,54784,57856,40011,0,27568,18763,32635
41769,3408,35792,37984,58624,52517,0,33717,26032,32624
41769,3040,40368,40640,45680,24752,0,21104,11147,32629
41769,2574,10672,9568,44064,21771,0,49408,31760,32635
41770,2814,17552,15536,51584,30832,0,15600,10928,32635
41770,2647,9200,9904,40352,15547,0,22203,10283,32624
41770,2488,13008,10752,41728,24768,0,15739,7216,32624
41770,2754,27264,25312,44560,23611,0,53808,29931,32629
41770,2627,14352,15216,42128,26491,0,15072,5899,32624
41770,2928,40192,38528,18736,5,0,19461,4000,32635
41770,2928,40192,38528,18736,5,0,19461,4000,32635
41770,2928,24448,25568,52512,38299,0,29312,22043,32645
41770,2335,47456,46144,50864,29408,0,15627,9163,32629
41770,2899,51280,52240,44576,20427,0,25365,13867,32635
41770,2899,34480,35264,41200,20101,0,19093,8384,32629
41770,2687,39760,39456,28752,5749,0,33851,13115,32635
41771,2721,58880,57584,40992,32096,0,27893,14208,32635
41771,2698,20064,20080,46464,33531,0,19163,11664,32635
41771,2679,7760,5536,44288,22507,0,51696,27707,32624
41771,2792,38176,40512,20272,240,0,24997,3664,32635
41771,2242,42064,41488,43056,30027,0,19061,11291,32624
41771,3138,19856,22032,52272,30731,0,18832,14928,32635
41771,3138,19856,22032,52272,30731,0,18832,14928,32635
41772,2629,60944,59120,59024,43968,0,42469,34944,32640
41772,2853,11376,9376,45040,23989,0,51360,29728,32629
41772,3042,10240,11056,44768,26341,0,18352,21088,32624
41772,2998,29648,30928,37328,24048,0,16901,13760,32640
41772,2865,14640,13584,40848,32352,0,16864,7595,32624
