time,pulse_width,D1,D2,fsc_small,fsc_perp,fsc_big,pe,chl_small,chl_big
34598,36476,23280,21824,31888,28427,29840,28053,26021,32683
34598,36511,24592,24560,26384,27968,25312,21371,23077,32704
34598,36101,33440,34464,24736,23104,24112,17488,17915,32699
34598,36754,47312,45584,29456,27419,27184,36971,23152,32715
34598,35998,54624,53968,45600,46304,43744,24213,45765,32699
34598,36699,31824,32960,23536,20528,22368,15557,17509,32693
34598,35782,34640,34944,25696,26608,24576,22032,18715,32693
34598,36048,35504,37584,19408,11803,15712,18853,21413,32693
34598,36771,49232,47216,21360,19920,18944,33456,18635,32693
34598,36672,23152,22224,27856,21499,25008,24981,25403,32709
34598,36894,44272,45392,17136,17339,14752,23872,12661,32688
34598,37003,39760,37440,29072,20891,26784,24731,13483,32693
34598,38118,15296,13504,18032,20293,15840,19552,17947,32688
34598,37340,41104,42624,26560,14715,24992,34757,16960,32688
34599,37414,51376,52816,56144,54928,54608,21979,64133,32720
34599,36077,44608,47040,26688,29525,25312,34843,20331,32688
34599,36459,42832,42192,21984,24741,21888,28373,17547,32693
34599,36440,25664,24384,24512,32267,24176,52480,38965,32704
34599,36236,20368,19312,31184,28805,28832,26192,29925,32699
34599,36952,41344,43504,10880,17088,10080,21104,18144,32683
34599,36119,47216,46784,21856,21029,20304,29285,19461,32715
34600,36438,20528,21408,46544,46389,44832,20789,64539,32720
34600,36432,46688,44256,16000,8357,17216,22757,13765,32688
34600,36907,43520,45888,25056,10347,23696,32997,15637,32683
34600,38179,44432,44720,17120,19339,15920,22304,21851,32693
34600,36689,43680,45936,18192,17355,16096,26533,14896,32699
34600,36530,47888,49776,21776,20880,20160,28219,24128,32704
34600,36265,46752,44464,16832,15659,15568,24981,15408,32688
34600,36750,62496,62832,52432,56453,49184,27861,31803,32699
34600,37065,48656,47040,25248,23120,23536,33067,18560,32699
34600,37409,53392,55648,34896,32928,31328,26320,14315,32709
34600,36166,45232,47440,10352,11925,9040,28293,14939,32693
34600,36615,21712,21232,33424,28277,31616,30592,31733,32704
34600,35726,39712,38672,12608,14085,11616,31525,19808,32693
34600,36077,51408,52256,31728,28704,29856,32885,18976,32693
34600,35682,46368,46400,19584,20491,19296,28752,14080,32699
34600,36075,44624,45824,19104,19685,16624,27109,22736,32688
34600,37803,29376,28944,55072,58309,52704,26736,64581,32715
34600,37803,45040,44816,23392,24336,23248,32277,17552,32693
34600,37444,52592,51776,39472,30149,37664,23803,23211,32704
34600,36546,36592,38384,11008,11237,9632,15611,12848,32683
34601,35770,11152,10352,27264,22293,25184,21776,24581,32688
34601,37011,42432,44048,27552,27717,22608,19968,12971,32683
34601,37246,17392,18592,28496,24773,26656,25141,19200,32688
34601,36928,34464,32208,25248,26773,24608,15920,23717,32693
34601,36841,50848,49616,27536,30043,26640,33669,20768,32699
34602,36839,27808,30288,26720,25803,24944,24491,27099,32693
34602,36626,36368,34560,25280,20949,23552,15051,16432,32688
34602,37318,23648,21952,53232,55248,51600,21253,61957,32693
34602,36597,21952,21904,32416,29600,30256,26165,28288,32699
34602,36459,52048,52176,28928,29211,25920,39424,26229,32693
34602,36515,47072,45504,32480,30251,30256,40224,24640,32693
34602,36603,40784,42496,13968,35653,12288,23445,11648,32699
34602,36038,44176,45776,33872,32651,32176,41243,27355,32704
34602,35998,44880,45024,15536,18955,16384,24587,12507,32688
34602,36898,47296,46144,18176,16027,17408,26144,17088,32693
34602,36841,46160,47264,25104,26752,24720,38357,23280,32693
34602,916,22912,22528,25616,24309,24112,17168,19029,32688
34602,37123,44352,43216,16608,18192,18944,31744,15632,32699
34602,37747,47600,46336,23056,28427,22608,32965,19152,32688
34602,36913,7968,10368,29632,29616,27584,26752,29749,32693
34602,35792,47648,46304,22032,22187,20288,29141,15547,32693
34603,36544,46624,48144,28032,28677,27120,38443,22864,32704
34603,36132,9760,9616,29840,26987,27552,25600,28960,32709
34603,36975,47616,45536,20352,16581,18496,25627,15712,32683
34603,37244,40768,42240,23072,24309,22672,34800,17072,32688
34603,36712,41248,43152,39952,33408,36448,15280,23963,32699
34603,35619,16880,14704,26240,23243,24544,22021,19957,32704
34604,36181,20928,20480,50768,62176,48624,15472,20971,32699
34604,36960,43360,45760,16832,21877,15600,26795,13301,32683
34604,36211,45664,43216,16656,18283,17696,30645,18656,32688
34604,37296,45584,45184,16608,17611,14992,24715,10416,32693
34604,36498,21088,22512,41504,40021,38384,63829,49797,32699
34604,36739,54960,56272,44320,45211,42336,22661,41989,32709
34604,36101,20960,20320,33472,29872,31728,27680,29237,32688
34604,37501,43488,45392,24688,20475,21840,26352,22651,32704
34604,37554,47216,45776,20656,18331,19568,27067,17637,32699
34604,35167,41888,40464,33104,31285,31760,48208,32373,32704
34604,37416,17312,15392,33152,32784,31264,29632,30352,32720
34604,36281,45392,44272,19792,17861,16656,18021,19435,32693
34604,37216,47472,46240,22320,15675,19568,28821,14405,32704
34604,36894,12672,14464,30976,28368,28528,25584,29872,32693
34604,38250,43456,44512,17248,19664,17136,20939,10773,32683
34604,37101,15008,14320,27760,25355,25776,22656,21424,32683
34604,36924,46928,44480,18080,16949,15664,24651,10981,32693
34604,36725,61488,60576,47712,56976,46224,31307,53600,32709
34605,36417,42112,44208,13312,19072,11808,23163,11051,32693
34605,36651,13520,11760,41424,35397,38640,32272,22144,32699
34605,36871,39440,37808,40080,35947,37424,46315,32565,32709
34605,36417,47040,48240,29696,35931,28128,43568,29003,32709
34605,37136,47760,46064,24608,22965,23184,30960,15947,32704
34606,36909,13776,15056,20064,23077,18384,15808,15328,32683
34606,36058,23360,22256,22704,16661,20000,17621,23248,32693
34606,38186,32896,32960,30944,24960,27824,15952,16757,32704
34606,36849,45424,46352,18880,22885,19040,29648,17419,32693
34606,36123,27888,26624,53616,58165,51744,22219,27952,32704
34606,36634,42160,43648,12464,16987,12256,22363,15344,32699
34606,36945,19456,17056,43920,43216,41344,15712,57008,32709
34606,36257,47792,45376,38288,33936,35504,29579,39637,32709
34606,36428,46512,44512,17552,16544,14864,25573,10555,32693
34606,35678,43008,44784,13312,17952,12784,24341,15424,32699
34606,37283,50848,52816,43312,46379,41184,19760,36880,32699
34606,35732,43088,44016,12384,17621,10416,22885,28160,32688
34606,36932,17472,17952,44480,32624,41936,56864,42219,32688
34606,36166,51376,52320,32144,30816,30720,40976,25131,32693
34606,38182,21872,24112,18688,19883,16384,28789,19083,32693
34606,36930,11584,12240,34736,31125,32960,28517,31733,32693
