time,pulse_width,D1,D2,fsc_small,fsc_perp,fsc_big,pe,chl_small,chl_big
40176,3137,55888,57648,11792,33072,7024,31819,9749,32357
40176,3194,26992,28928,33792,33077,6144,53205,22635,32363
40176,2802,33632,34688,34320,33099,4960,53541,24080,32363
40176,3188,51504,52256,11792,33077,6816,31131,8208,32368
40176,3693,46896,48064,27680,33083,5984,44331,12640,32373
40176,3261,43456,43808,30336,33083,6272,46389,20811,32363
40176,3223,50832,51584,16144,33077,5760,27973,6560,32363
40177,3299,50368,52336,14032,33077,7600,32763,5280,32363
40177,3350,49248,50544,17328,33099,7600,35419,6251,32357
40178,2913,50256,49952,19968,33093,4768,37909,6720,32363
40178,2891,52368,52176,16528,33083,4624,34448,10427,32352
40178,2623,48768,50352,21408,33083,6176,38827,12000,32363
40178,3001,50144,52624,15792,33088,6976,34149,9163,32357
40178,2855,50592,51472,18464,33077,5168,36149,5621,32363
40178,3182,43072,44752,30208,33093,4896,46773,18416,32379
40178,3329,49920,50224,18112,33083,6096,36480,10784,32363
40178,3404,50832,49712,15360,33077,6944,33973,9872,32357
40179,3152,53152,51040,16688,33083,7104,37488,6923,32363
40179,3053,43136,41472,49024,33083,8240,52837,22757,32368
40179,3062,50336,50592,16112,33083,7776,24965,8203,32363
40180,3144,29824,31664,33456,33088,6208,53323,25168,32357
40180,2765,50160,49552,19504,33072,7968,37232,10789,32368
40180,3814,41632,40256,30704,33083,7696,47979,18811,32363
40180,3021,52720,53792,15952,33072,6752,37461,10987,32363
40180,2791,55344,54656,17840,33077,5776,40885,7136,32363
40180,3394,59104,59472,30352,33083,7072,45941,23739,32368
40180,3617,51728,54048,15584,33072,5568,32859,4763,32363
40180,3530,29680,29120,34032,33088,7792,52805,24485,32363
40181,3275,50032,52064,17136,33072,7600,18832,3371,32357
40181,2882,51088,48688,17072,33088,6272,35291,4533,32357
40181,3466,53824,55520,11376,33083,6304,27472,2859,32363
40181,3187,50416,50448,15248,33077,4448,34224,6976,32357
40182,2731,31008,31216,38608,33093,5264,57883,32336,32368
40182,3012,52752,50976,28272,33083,5440,45392,10885,32363
40182,3387,48880,49984,22112,33077,3904,40395,13355,32357
40182,3259,50960,51408,10784,33072,5904,29221,12864,32373
40182,3423,51296,49792,21024,33083,5648,38939,12923,32363
40182,3028,56128,57984,23504,33083,9408,42747,16901,32373
40182,2966,54192,52816,21152,33077,6176,41296,15547,32357
40182,3753,51328,50608,18016,33077,4064,33115,11739,32363
40182,3465,49168,51552,33280,33088,6528,53232,25099,32373
40183,3470,49584,50304,19584,33093,5696,38032,6053,32379
40183,3042,43712,45696,32256,33083,5248,51648,22341,32363
40183,3576,49104,48496,24016,33088,3312,42267,14875,32357
40184,3042,42128,43264,33136,33077,2528,48901,18949,32363
