time,pulse_width,D1,D2,fsc_small,fsc_perp,fsc_big,pe,chl_small,chl_big
20390,11833,41920,42576,24224,0,32384,18107,16219,32752
20390,12486,55664,54752,38064,0,32384,36112,24757,32763
20390,12486,55664,54752,38064,0,32384,36112,24757,32763
20390,10899,37920,39696,58624,875,32368,17317,43925,32757
20390,10899,37920,39696,58624,875,32368,17317,43925,32757
20390,10979,52960,53184,31024,0,32368,28464,21584,32752
20390,10787,38816,39168,31056,0,32368,22597,32405,32757
20390,10787,38816,39168,31056,0,32368,22597,32405,32757
20390,11109,36256,36816,22272,0,32384,16939,13024,32757
20390,12137,54496,54704,36096,0,32384,32720,13984,32752
20390,12137,54496,54704,36096,0,32384,32720,13984,32752
20390,12882,44688,46656,59760,0,32400,49259,59973,32763
20390,12882,44688,46656,59760,0,32400,49259,59973,32763
20390,13330,54368,52128,29504,0,32384,27243,19696,32752
20390,12133,38016,37296,23232,48,32384,17109,14395,32752
20390,12133,38016,37296,23232,48,32384,17109,14395,32752
20390,12133,51872,52400,29808,0,32384,26208,15349,32757
20390,13952,30112,32608,26560,0,32368,23776,23696,32752
20390,13952,30112,32608,26560,0,32368,23776,23696,32752
20390,12993,53920,54224,33056,0,32384,27915,19872,32752
20390,12993,53920,54224,33056,0,32384,27915,19872,32752
20390,12343,55520,53504,33248,0,32400,30571,14955,32757
20390,13067,63248,64288,48320,0,32384,50336,32144,32757
20390,13067,63248,64288,48320,0,32384,50336,32144,32757
20390,11345,44864,46864,47872,0,32416,46480,32795,32752
20390,11345,44864,46864,47872,0,32416,46480,32795,32752
20390,11264,55584,54528,44752,0,32384,39024,21627,32757
20390,11132,55440,53904,47120,0,32384,41413,24485,32757
20390,11132,55440,53904,47120,0,32384,41413,24485,32757
20390,11496,18320,17648,42000,0,32384,16757,13605,32752
20390,12223,55232,55040,38304,0,32368,35211,23797,32752
20390,12223,55232,55040,38304,0,32368,35211,23797,32752
20390,11391,6160,8176,22880,0,32368,15824,9952,32752
20390,11391,6160,8176,22880,0,32368,15824,9952,32752
20390,13229,51200,53424,30176,0,32384,27131,21312,32747
20390,12220,55680,54080,34880,75,32368,33979,19440,32752
20390,12220,55680,54080,34880,75,32368,33979,19440,32752
20390,11617,27824,28752,31136,0,32368,29088,28181,32757
20390,11617,27824,28752,31136,0,32368,29088,28181,32757
20390,11485,54064,54176,33552,0,32384,29584,26784,32757
20390,11485,52912,52816,29936,0,32384,30789,21616,32752
20390,11485,52912,52816,29936,0,32384,30789,21616,32752
20390,10276,55440,53712,33472,0,32400,31781,30069,32752
20390,11199,54272,54176,34112,0,32384,28597,22256,32757
20390,11199,54272,54176,34112,0,32384,28597,22256,32757
20390,10675,53136,52320,29072,0,32384,30699,27232,32752
20390,10675,53136,52320,29072,0,32384,30699,27232,32752
20391,11618,51520,52480,29872,0,32400,27627,15648,32752
20391,12357,51264,53568,30048,0,32368,28347,12331,32752
20391,12357,51264,53568,30048,0,32368,28347,12331,32752
20391,12498,50224,50400,58960,0,32384,45760,55211,32752
20391,11793,55168,56432,43072,0,32384,18000,34709,32752
20391,11793,55168,56432,43072,0,32384,18000,34709,32752
20391,12379,54528,54272,34112,0,32384,29099,13285,32757
20391,12379,54528,54272,34112,0,32384,29099,13285,32757
20391,12379,19280,21440,20448,0,32368,15077,22139,32752
20391,13055,55792,54528,37760,0,32384,35355,29563,32752
20391,13055,55792,54528,37760,0,32384,35355,29563,32752
20391,12479,55744,54272,36480,0,32384,35909,21723,32752
20391,12479,55744,54272,36480,0,32384,35909,21723,32752
20391,12135,54480,54944,40944,0,32384,16539,28800,32757
20391,12069,57680,56800,57040,16,32384,40352,50832,32752
20391,12069,57680,56800,57040,16,32384,40352,50832,32752
20391,11931,55664,54368,34640,0,32400,31579,21653,32763
20391,12784,14640,16688,19600,0,32368,15403,28587,32757
20391,12784,14640,16688,19600,0,32368,15403,28587,32757
20391,12471,52784,54176,32544,0,32384,28901,20768,32747
20391,12471,52784,54176,32544,0,32384,28901,20768,32747
20391,11524,54944,53152,32256,0,32368,35968,16251,32763
20391,11830,63312,62880,57376,0,32384,19429,62395,32763
20391,11830,63312,62880,57376,0,32384,19429,62395,32763
20391,11830,63232,65024,59472,32,32400,41867,34053,32747
20391,11830,63232,65024,59472,32,32400,41867,34053,32747
20391,11830,54112,53504,32304,0,32384,27867,22683,32747
20391,11563,43568,42368,47040,0,32368,28651,23088,32747
20391,11563,43568,42368,47040,0,32368,28651,23088,32747
20392,12603,36992,35024,24256,80,32384,23264,19947,32757
20392,11934,55728,55328,39632,0,32384,19904,34645,32757
20392,11934,55728,55328,39632,0,32384,19904,34645,32757
20392,11777,54432,55104,38448,0,32400,35819,20491,32763
20392,11777,54432,55104,38448,0,32400,35819,20491,32763
20392,11777,32544,34416,56336,384,32384,58928,42912,32752
20392,12098,50656,50416,34496,0,32384,30224,23600,32757
20392,12098,50656,50416,34496,0,32384,30224,23600,32757
20392,13809,55648,53888,36096,0,32368,33285,20144,32757
20392,13809,45616,47056,20000,0,32384,22715,10501,32757
20392,13809,45616,47056,20000,0,32384,22715,10501,32757
20392,13809,52208,52512,28608,0,32368,21648,20645,32752
20392,13809,52208,52512,28608,0,32368,21648,20645,32752
20392,13097,63264,64144,51776,0,32400,24517,26869,32757
20392,13874,21680,20512,18848,0,32384,16091,17392,32768
20392,13874,21680,20512,18848,0,32384,16091,17392,32768
20392,12038,27728,25680,33184,0,32384,23275,20848,32752
20392,12038,27728,25680,33184,0,32384,23275,20848,32752
20392,13231,63264,63152,64112,800,32384,27840,61952,32752
20392,13030,53792,54464,33392,0,32384,30133,24016,32757
20392,13030,53792,54464,33392,0,32384,30133,24016,32757
20392,11673,52784,53680,32480,0,32368,28363,21221,32763
20392,11697,36752,37904,32592,0,32384,24757,23296,32752
20392,11697,36752,37904,32592,0,32384,24757,23296,32752
20392,12510,51712,54192,31232,0,32384,29189,23157,32757
20392,12510,51712,54192,31232,0,32384,29189,23157,32757
20392,12181,57856,57504,50192,0,32384,28773,40939,32763
20392,10956,58352,58752,54288,43,32384,35456,45040,32757
20392,10956,58352,58752,54288,43,32384,35456,45040,32757
20392,13122,51184,53088,28944,0,32384,28704,20299,32757
20392,13122,51184,53088,28944,0,32384,28704,20299,32757
20392,12615,17488,19088,16144,0,32368,15664,16805,32763
20392,10938,54176,53568,31584,0,32384,27952,18965,32752
20392,10938,54176,53568,31584,0,32384,27952,18965,32752
20392,12361,56144,54416,34192,0,32384,30240,12517,32752
20392,12085,53344,53456,31824,0,32384,27621,14389,32752
20392,12085,53344,53456,31824,0,32384,27621,14389,32752
20392,11005,52432,54832,32544,0,32384,27579,25925,32752
20392,11005,52432,54832,32544,0,32384,27579,25925,32752
20392,10792,63168,62432,56480,0,32384,49072,40645,32757
20392,11995,21712,22720,10304,0,32384,15013,27323,32747
20392,11995,21712,22720,10304,0,32384,15013,27323,32747
20392,13238,37344,39184,55792,0,32416,55749,38843,32752
20392,12651,23888,22528,21568,0,32368,15323,10811,32752
20392,12651,23888,22528,21568,0,32368,15323,10811,32752
20392,12537,54656,53984,32960,0,32400,29963,22779,32752
20392,12537,54656,53984,32960,0,32400,29963,22779,32752
20392,7535,9808,9616,12192,0,32368,35659,24784,32747
20392,11823,23040,23664,20592,0,32368,15355,25909,32752
20392,11823,23040,23664,20592,0,32368,15355,25909,32752
20392,13135,54464,53840,52208,37,32384,48928,34181,32768
20392,13135,54464,53840,52208,37,32384,48928,34181,32768
20392,12097,54672,53296,32112,0,32384,27461,18683,32752
20392,11775,36784,37376,59184,0,32384,49739,57621,32752
20392,11775,36784,37376,59184,0,32384,49739,57621,32752
20392,10558,54048,53520,31584,0,32368,23792,19136,32763
20392,13243,54560,54288,34432,0,32384,31333,26011,32763
20392,13243,54560,54288,34432,0,32384,31333,26011,32763
20392,10513,63152,64976,63904,853,32384,19125,54261,32757
20392,10513,63152,64976,63904,853,32384,19125,54261,32757
20392,11512,38784,39104,28992,0,32368,16048,22240,32757
20392,11536,53104,52480,30432,0,32384,28373,23749,32752
20392,11536,53104,52480,30432,0,32384,28373,23749,32752
20392,11536,51248,53264,29696,0,32368,26651,13877,32757
20392,11536,51248,53264,29696,0,32368,26651,13877,32757
20392,12386,53568,53328,30768,123,32384,28235,16208,32757
20392,12827,33760,31344,56224,5,32400,59243,40880,32752
20392,12827,33760,31344,56224,5,32400,59243,40880,32752
20392,12054,43792,45968,55104,0,32368,15360,54229,32752
20392,11965,25952,27168,16832,0,32384,15589,27707,32752
20392,11965,25952,27168,16832,0,32384,15589,27707,32752
20392,11761,55120,53808,32496,0,32368,26971,19168,32757
