time,pulse_width,D1,D2,fsc_small,fsc_perp,fsc_big,pe,chl_small,chl_big
18992,3992,59728,62144,33488,29787,32768,15456,39339,32379
18992,3992,59728,62144,33488,29787,32768,15456,39339,32379
18992,3992,59728,62144,33488,29787,32768,15456,39339,32379
18992,4165,59936,58096,33488,29019,32784,21515,5547,32384
18992,4165,59936,58096,33488,29019,32784,21515,5547,32384
18992,4165,59936,58096,33488,29019,32784,21515,5547,32384
18992,4165,59936,58096,33488,29019,32784,21515,5547,32384
18992,4483,36672,37424,16800,8016,32768,18880,6629,32379
18992,4483,36672,37424,16800,8016,32768,18880,6629,32379
18992,4483,36672,37424,16800,8016,32768,18880,6629,32379
18992,4483,36672,37424,16800,8016,32768,18880,6629,32379
18992,4483,36672,37424,16800,8016,32768,18880,6629,32379
18992,5176,10912,12208,16912,7605,32768,34064,24901,32384
18992,5176,10912,12208,16912,7605,32768,34064,24901,32384
18992,5176,10912,12208,16912,7605,32768,34064,24901,32384
18992,5176,10912,12208,16912,7605,32768,34064,24901,32384
18992,5176,10912,12208,16912,7605,32768,34064,24901,32384
18993,4762,52944,52992,33792,18400,32752,22368,10421,32384
18993,4762,52944,52992,33792,18400,32752,22368,10421,32384
18993,4762,52944,52992,33792,18400,32752,22368,10421,32384
18993,4762,52944,52992,33792,18400,32752,22368,10421,32384
18994,4901,59904,62096,45968,37301,32768,40992,19973,32384
18994,4901,59904,62096,45968,37301,32768,40992,19973,32384
18994,4901,59904,62096,45968,37301,32768,40992,19973,32384
18994,4901,59904,62096,45968,37301,32768,40992,19973,32384
18994,4901,59904,62096,45968,37301,32768,40992,19973,32384
18994,4278,55632,54880,38192,18933,32768,18752,32891,32395
18994,4278,55632,54880,38192,18933,32768,18752,32891,32395
18994,4278,55632,54880,38192,18933,32768,18752,32891,32395
18994,4278,55632,54880,38192,18933,32768,18752,32891,32395
18994,4278,55632,54880,38192,18933,32768,18752,32891,32395
18996,4879,59824,59024,35600,35595,32768,16955,42715,32389
18996,4879,59824,59024,35600,35595,32768,16955,42715,32389
18996,4879,59824,59024,35600,35595,32768,16955,42715,32389
18996,4879,59824,59024,35600,35595,32768,16955,42715,32389
18997,4226,36928,38992,15712,7851,32752,23829,5371,32373
18997,4226,36928,38992,15712,7851,32752,23829,5371,32373
18997,4226,36928,38992,15712,7851,32752,23829,5371,32373
18997,4226,36928,38992,15712,7851,32752,23829,5371,32373
18997,4226,36928,38992,15712,7851,32752,23829,5371,32373
18998,4475,21232,22320,36784,28715,32768,15328,45083,32384
18998,4475,21232,22320,36784,28715,32768,15328,45083,32384
18998,4475,21232,22320,36784,28715,32768,15328,45083,32384
18998,4475,21232,22320,36784,28715,32768,15328,45083,32384
18998,5480,51168,51952,51904,47168,32768,27547,55408,32389
18998,5480,51168,51952,51904,47168,32768,27547,55408,32389
18998,5480,51168,51952,51904,47168,32768,27547,55408,32389
18998,5480,51168,51952,51904,47168,32768,27547,55408,32389
18998,5480,51168,51952,51904,47168,32768,27547,55408,32389
18999,4426,46656,48048,17584,7904,32768,28715,13776,32373
18999,4426,46656,48048,17584,7904,32768,28715,13776,32373
18999,4426,46656,48048,17584,7904,32768,28715,13776,32373
18999,4426,46656,48048,17584,7904,32768,28715,13776,32373
18999,4426,46656,48048,17584,7904,32768,28715,13776,32373
18999,4297,59792,62192,51696,45413,32768,21056,10219,32379
18999,4297,59792,62192,51696,45413,32768,21056,10219,32379
18999,4297,59792,62192,51696,45413,32768,21056,10219,32379
18999,4297,59792,62192,51696,45413,32768,21056,10219,32379
19000,6033,29392,28608,40816,36197,32768,18064,52635,32389
19000,6033,29392,28608,40816,36197,32768,18064,52635,32389
19000,6033,29392,28608,40816,36197,32768,18064,52635,32389
19000,6033,29392,28608,40816,36197,32768,18064,52635,32389
19000,6033,29392,28608,40816,36197,32768,18064,52635,32389
19000,5001,20784,23152,39424,35392,32784,34213,17563,32379
19000,5001,20784,23152,39424,35392,32784,34213,17563,32379
19000,5001,20784,23152,39424,35392,32784,34213,17563,32379
19000,5001,20784,23152,39424,35392,32784,34213,17563,32379
19000,5001,20784,23152,39424,35392,32784,34213,17563,32379
19000,4772,47840,47856,21968,7285,32768,24987,10917,32379
19000,4772,47840,47856,21968,7285,32768,24987,10917,32379
19000,4772,47840,47856,21968,7285,32768,24987,10917,32379
19000,4772,47840,47856,21968,7285,32768,24987,10917,32379
19000,5451,32768,35008,37072,27563,32768,16965,11237,32379
19000,5451,32768,35008,37072,27563,32768,16965,11237,32379
19000,5451,32768,35008,37072,27563,32768,16965,11237,32379
19000,5451,32768,35008,37072,27563,32768,16965,11237,32379
19000,5451,32768,35008,37072,27563,32768,16965,11237,32379
19000,5097,52736,52752,30912,8619,32768,18096,9152,32389
19000,5097,52736,52752,30912,8619,32768,18096,9152,32389
19000,5097,52736,52752,30912,8619,32768,18096,9152,32389
19000,5097,52736,52752,30912,8619,32768,18096,9152,32389
19001,5313,42256,39984,14272,8048,32752,30437,8400,32379
19001,5313,42256,39984,14272,8048,32752,30437,8400,32379
