time,pulse_width,D1,D2,fsc_small,fsc_perp,fsc_big,pe,chl_small,chl_big
18626,7402,22784,23088,29808,16459,32432,18576,21557,0
18626,7949,22752,24032,29104,16075,32432,16411,24171,144
18626,7949,22752,24032,29104,16075,32432,16411,24171,144
18626,7203,23200,23952,29952,16912,32432,19659,22229,1317
18626,7203,23200,23952,29952,16912,32432,19659,22229,1317
18626,6939,23280,22336,18848,7173,32432,15253,20437,1237
18626,6939,23280,22336,18848,7173,32432,15253,20437,1237
18626,7139,17264,15616,26432,12533,32448,18768,23696,0
18626,7139,17264,15616,26432,12533,32448,18768,23696,0
18626,7033,20896,19152,24096,10251,32416,16229,21685,224
18626,7033,20896,19152,24096,10251,32416,16229,21685,224
18626,6517,9920,11216,25040,13115,32432,21899,27355,2251
18626,6517,9920,11216,25040,13115,32432,21899,27355,2251
18626,6984,22880,22320,24448,11296,32416,16395,18219,512
18626,6984,22880,22320,24448,11296,32416,16395,18219,512
18626,8212,11584,12832,15600,3557,32432,19552,24224,0
18626,8212,11584,12832,15600,3557,32432,19552,24224,0
18627,6479,13776,12208,32976,19685,32448,24587,34229,1845
18627,6840,47472,48208,39712,23819,32448,26699,18816,2864
18627,6840,47472,48208,39712,23819,32448,26699,18816,2864
18628,6777,11472,10208,24704,12144,32432,22549,26203,0
18628,6777,11472,10208,24704,12144,32432,22549,26203,0
18628,6412,21472,19728,31424,17600,32432,18267,27675,2443
18628,6412,21472,19728,31424,17600,32432,18267,27675,2443
18628,7541,11648,13376,24528,12976,32432,20587,21792,2624
18628,7541,11648,13376,24528,12976,32432,20587,21792,2624
18628,6962,10624,8352,30544,16453,32416,22496,28768,0
18628,6962,10624,8352,30544,16453,32416,22496,28768,0
18628,7715,11664,11920,23776,11339,32416,15291,21637,773
18628,7715,11664,11920,23776,11339,32416,15291,21637,773
18628,7147,46416,46112,35040,23120,32448,24565,18432,485
18628,7147,46416,46112,35040,23120,32448,24565,18432,485
18628,6722,13744,12192,21024,6165,32416,15787,25120,864
18628,6523,9488,10544,26320,14101,32432,23728,26469,1093
18628,6523,9488,10544,26320,14101,32432,23728,26469,1093
18629,7144,12656,14320,16336,4155,32432,16955,18368,667
18629,7144,12656,14320,16336,4155,32432,16955,18368,667
18629,8359,20384,22640,30496,16203,32432,23131,26960,0
18629,8359,20384,22640,30496,16203,32432,23131,26960,0
18629,6734,9488,8080,40128,25045,32448,30976,36283,6224
18629,6734,9488,8080,40128,25045,32448,30976,36283,6224
18629,6911,23008,25344,36304,21989,32432,25227,29979,0
18629,6911,23008,25344,36304,21989,32432,25227,29979,0
18630,7271,20224,21856,32064,17280,32448,18165,25547,1035
18630,7271,20224,21856,32064,17280,32448,18165,25547,1035
18630,6593,8560,6192,34832,21125,32432,31781,33925,3088
18630,6593,8560,6192,34832,21125,32432,31781,33925,3088
18630,6828,20064,18704,25280,11787,32432,17179,15355,1397
18630,6828,20064,18704,25280,11787,32432,17179,15355,1397
18630,7163,25072,23440,29648,15579,32432,20032,23696,0
18630,7731,10192,11280,29792,16053,32448,26277,28795,0
18630,7731,10192,11280,29792,16053,32448,26277,28795,0
18630,7731,16400,16176,14224,4075,32416,15243,15051,0
18630,7731,16400,16176,14224,4075,32416,15243,15051,0
18630,8035,21120,18816,16864,5712,32432,16763,16448,0
18630,8035,21120,18816,16864,5712,32432,16763,16448,0
18630,8340,17984,18144,13760,3008,32432,15147,17792,763
18630,8340,17984,18144,13760,3008,32432,15147,17792,763
18630,7493,23200,22432,24064,8715,32416,15525,26181,0
18630,7493,23200,22432,24064,8715,32416,15525,26181,0
18631,8594,24208,21728,19120,7312,32416,15963,18619,0
18631,8594,24208,21728,19120,7312,32416,15963,18619,0
18631,6953,9728,10368,24272,10555,32432,20112,26720,0
18631,6953,9728,10368,24272,10555,32432,20112,26720,0
18631,7531,24848,23408,27360,14075,32416,18629,23344,0
18631,7531,24848,23408,27360,14075,32416,18629,23344,0
18631,7002,36272,36656,37008,22880,32432,19760,24245,0
18631,7218,23104,24624,34960,21531,32432,21189,29509,437
18631,7218,23104,24624,34960,21531,32432,21189,29509,437
18632,7116,22336,21776,27200,13685,32432,18384,26133,949
18632,7116,22336,21776,27200,13685,32432,18384,26133,949
18632,7120,22832,21504,24624,13035,32416,15760,22053,0
18632,7120,22832,21504,24624,13035,32416,15760,22053,0
18632,7259,27584,26176,28864,15755,32432,15179,23579,1259
18632,7259,27584,26176,28864,15755,32432,15179,23579,1259
18632,7427,45712,44816,36064,25893,32448,24629,19435,880
18632,7427,45712,44816,36064,25893,32448,24629,19435,880
18632,7170,22624,21184,20992,9792,32416,17376,14896,0
18632,7170,22624,21184,20992,9792,32416,17376,14896,0
18632,8493,23888,23664,20064,8539,32416,17093,17867,1168
18632,8493,23888,23664,20064,8539,32416,17093,17867,1168
18632,6795,22672,20800,19552,8267,32416,15872,20976,853
18632,6795,22672,20800,19552,8267,32416,15872,20976,853
18632,8539,30240,28800,18768,0,32432,15472,11333,0
18632,8539,35184,32896,20784,4939,32432,15445,13947,0
18632,8539,35184,32896,20784,4939,32432,15445,13947,0
18632,7452,25616,26896,32816,19979,32416,21435,27979,1099
18632,7452,25616,26896,32816,19979,32416,21435,27979,1099
18632,7406,24592,25168,50592,37739,32448,41088,23888,933
18632,7406,24592,25168,50592,37739,32448,41088,23888,933
18632,7406,24512,22112,33456,19232,32432,23227,24736,160
18632,7406,24512,22112,33456,19232,32432,23227,24736,160
18632,7628,25088,27216,28032,16677,32432,19109,23664,864
18632,7628,25088,27216,28032,16677,32432,19109,23664,864
18632,8164,24992,25072,23760,9915,32432,16336,23061,0
18632,8164,24992,25072,23760,9915,32432,16336,23061,0
18632,8162,22096,21248,15632,3504,32416,15307,18480,1744
18632,8162,22096,21248,15632,3504,32416,15307,18480,1744
